"participant.id_in_session","condition","session_id","subsession.round_number","participant_number","item_number","answers","target","network_size","Answers_clean"
4,"random","48b9jmgp",10,"p25","reordered_keywords_1","dragon head",0,12,"dragon"
4,"random","48b9jmgp",10,"p25","reordered_keywords_2","angel",1,12,"angel"
4,"random","48b9jmgp",10,"p25","reordered_keywords_3","scythe",0,12,"scythe"
4,"random","48b9jmgp",10,"p25","reordered_keywords_4","swans",0,12,"swan"
4,"random","48b9jmgp",10,"p25","reordered_keywords_5","hourglass",0,12,"hourglass"
4,"ws","9caxmijh",4,"p26","reordered_keywords_1","leaf",0,12,"leaf"
4,"ws","9caxmijh",4,"p26","reordered_keywords_2","angel",1,12,"angel"
4,"ws","9caxmijh",4,"p26","reordered_keywords_5","triangles",0,12,"triangle"
4,"ws","9caxmijh",10,"p26","reordered_keywords_1","shield",1,12,"shield"
4,"ws","9caxmijh",10,"p26","reordered_keywords_2","angel",1,12,"angel"
4,"ws","9caxmijh",10,"p26","reordered_keywords_3","flag",1,12,"flag"
4,"ws","9caxmijh",10,"p26","reordered_keywords_4","antennae",1,12,"antenna"
4,"ws","9caxmijh",10,"p26","reordered_keywords_5","apron",1,12,"apron"
4,"ws","hg739rpo",4,"p27","reordered_keywords_1","club",0,12,"club"
4,"ws","hg739rpo",4,"p27","reordered_keywords_2","flower",0,12,"flower"
4,"ws","hg739rpo",4,"p27","reordered_keywords_3","l shape",0,12,"l shape"
4,"ws","hg739rpo",4,"p27","reordered_keywords_4","2 symmetrical things",0,12,"symmetrical thing"
4,"ws","hg739rpo",10,"p27","reordered_keywords_1","shield",1,12,"shield"
4,"ws","hg739rpo",10,"p27","reordered_keywords_2","angel",1,12,"angel"
4,"ws","hg739rpo",10,"p27","reordered_keywords_3","flag",1,12,"flag"
4,"ws","hg739rpo",10,"p27","reordered_keywords_4","antennae",1,12,"antenna"
4,"ws","hg739rpo",10,"p27","reordered_keywords_5","apron",1,12,"apron"
4,"ws","j8urhz5m",4,"p28","reordered_keywords_1","dragons",0,12,"dragon"
4,"ws","j8urhz5m",4,"p28","reordered_keywords_2","wings",0,12,"wing"
4,"ws","j8urhz5m",4,"p28","reordered_keywords_4","bugs",0,12,"bug"
4,"ws","j8urhz5m",4,"p28","reordered_keywords_5","timer",0,12,"timer"
4,"ws","j8urhz5m",10,"p28","reordered_keywords_1","dragon",0,12,"dragon"
4,"ws","j8urhz5m",10,"p28","reordered_keywords_2","wings",0,12,"wing"
4,"ws","j8urhz5m",10,"p28","reordered_keywords_3","flag",1,12,"flag"
4,"ws","j8urhz5m",10,"p28","reordered_keywords_4","antennae",1,12,"antenna"
4,"ws","j8urhz5m",10,"p28","reordered_keywords_5","timer",0,12,"timer"
4,"random","jdf4sgo1",10,"p29","reordered_keywords_1","shield",1,12,"shield"
4,"random","jdf4sgo1",10,"p29","reordered_keywords_2","angel",1,12,"angel"
4,"random","jdf4sgo1",10,"p29","reordered_keywords_3","scythe",0,12,"scythe"
4,"random","jdf4sgo1",10,"p29","reordered_keywords_4","antennae",1,12,"antenna"
4,"random","jdf4sgo1",10,"p29","reordered_keywords_5","hourglass",0,12,"hourglass"
1,"ws","hg739rpo",3,"p3","reordered_keywords_1","shield",1,12,"shield"
1,"ws","hg739rpo",3,"p3","reordered_keywords_2","angel",1,12,"angel"
